channel,video_link,views,likes,dislikes,subscribers
itsalissaweekly,https://www.youtube.com/watch?v=il-e8KQRN0E,2157055,41347,1592,1214026
itsalissaweekly,https://www.youtube.com/watch?v=OoCWxK1153E,1895887,65912,916,1214026
itsalissaweekly,https://www.youtube.com/watch?v=lv04ZmFAz4k,1752150,78608,755,1214026
itsalissaweekly,https://www.youtube.com/watch?v=WBVvu7FYs8M,1560992,77342,567,1214026
itsalissaweekly,https://www.youtube.com/watch?v=FylmrOosU2Y,1318709,91039,399,1214026
itsalissaweekly,https://www.youtube.com/watch?v=VftRat7bG5A,1153538,47118,1592,1214026
itsalissaweekly,https://www.youtube.com/watch?v=shzzQxD53Tk,1135379,56432,504,1214026
itsalissaweekly,https://www.youtube.com/watch?v=WNs7fkbANM8,1046246,85770,1369,1214026
itsalissaweekly,https://www.youtube.com/watch?v=hp9OmSEQfPg,1016930,50571,676,1214026
itsalissaweekly,https://www.youtube.com/watch?v=V96EKKAe03c,1009549,24774,537,1214026
itsmyRayeRaye,https://www.youtube.com/watch?v=nqE_l872dLU,4360112,68254,2157,1820496
itsmyRayeRaye,https://www.youtube.com/watch?v=MFMksUH_KZs,3716376,86926,2259,1820496
itsmyRayeRaye,https://www.youtube.com/watch?v=qRyurzO716I,2721396,98664,763,1820496
itsmyRayeRaye,https://www.youtube.com/watch?v=ASyMnp6V21Y,2563718,77979,970,1820496
itsmyRayeRaye,https://www.youtube.com/watch?v=cjtC0k-io2Q,2066390,37907,963,1820496
itsmyRayeRaye,https://www.youtube.com/watch?v=ix9HeW3U1WU,1901540,27430,814,1820496
itsmyRayeRaye,https://www.youtube.com/watch?v=r0yN3llRw-o,1884169,45160,1299,1820496
itsmyRayeRaye,https://www.youtube.com/watch?v=KfoLLc3Nbl8,1729482,39098,842,1820496
itsmyRayeRaye,https://www.youtube.com/watch?v=-sCL_qv8nMo,1665025,45827,555,1820496
