channel,video_link,views,likes,dislikes
bubzbeauty,https://www.youtube.com/watch?v=rrlDSajseYg,2056038,18624,1157
bubzbeauty,https://www.youtube.com/watch?v=RO4_rtNVxn8,1480285,48997,1575
bubzbeauty,https://www.youtube.com/watch?v=kfZTYymSh_A,1922983,42700,1821
bubzbeauty,https://www.youtube.com/watch?v=-hgC47CnotE,1721322,32207,600
bubzbeauty,https://www.youtube.com/watch?v=7aeIpW0Tkvc,1671379,90903,1125
bubzbeauty,https://www.youtube.com/watch?v=Js7bzNS470s,6980737,22396,645
itsalissaweekly,https://www.youtube.com/watch?v=il-e8KQRN0E,930830,40445,1571
itsalissaweekly,https://www.youtube.com/watch?v=OoCWxK1153E,1614867,64433,898
itsalissaweekly,https://www.youtube.com/watch?v=lv04ZmFAz4k,1854997,73559,691
itsalissaweekly,https://www.youtube.com/watch?v=WBVvu7FYs8M,1148655,75449,553
itsalissaweekly,https://www.youtube.com/watch?v=FylmrOosU2Y,1508656,83656,352
itsalissaweekly,https://www.youtube.com/watch?v=VftRat7bG5A,275874,46098,1559
itsalissaweekly,https://www.youtube.com/watch?v=shzzQxD53Tk,278585,54397,483
itsalissaweekly,https://www.youtube.com/watch?v=WNs7fkbANM8,2217886,84735,1342
itsalissaweekly,https://www.youtube.com/watch?v=V96EKKAe03c,516957,23902,526
itsalissaweekly,https://www.youtube.com/watch?v=hp9OmSEQfPg,338005,47728,638
mylifeaseva,https://www.youtube.com/watch?v=fqDVIu689ow,24769124,1156140,35586
mylifeaseva,https://www.youtube.com/watch?v=fUMoKmFTdf4,11030165,561631,14257
mylifeaseva,https://www.youtube.com/watch?v=fMH0zmBAfxw,15539487,1874856,42938
mylifeaseva,https://www.youtube.com/watch?v=5NbhJ2fFGco,16688555,1527723,22254
mylifeaseva,https://www.youtube.com/watch?v=XPcyq4l8NaE,13597683,308795,11703
mylifeaseva,https://www.youtube.com/watch?v=_pHSV5hDcp8,11252382,648346,12011
mylifeaseva,https://www.youtube.com/watch?v=cI4IdNoIvJM,1264886,337887,14324
mylifeaseva,https://www.youtube.com/watch?v=yKA_g7yffKQ,15539487,484648,8626
mylifeaseva,https://www.youtube.com/watch?v=3rHNLNDGuh4,4097191,558359,9330
mylifeaseva,https://www.youtube.com/watch?v=4uYSx0-7Mp8,7426821,387883,4789
Dope2111,https://www.youtube.com/watch?v=C1DXqkOCBt0,10656320,353285,63275
Dope2111,https://www.youtube.com/watch?v=_V7iMAv0mY4,9010233,170693,18425
Dope2111,https://www.youtube.com/watch?v=-RYvxzkuHFo,202167886,255167,14792
Dope2111,https://www.youtube.com/watch?v=YZYKatX--kA,48712615,112006,13584
Dope2111,https://www.youtube.com/watch?v=LmrlQJHbqnI,39512245,90159,14403
Dope2111,https://www.youtube.com/watch?v=68OOfdxhWWc,11153106,103912,13936
Dope2111,https://www.youtube.com/watch?v=ZwFTIYS_Cr4,16438349,70328,10838
Dope2111,https://www.youtube.com/watch?v=VYOTcofFv7o,57477119,74057,10253
Dope2111,https://www.youtube.com/watch?v=KWFWoHr89Tk,4453669,258015,39796
Dope2111,https://www.youtube.com/watch?v=sZVhjlq77II,7351983,96563,11797
UCT-_4GqC-yLY1xtTHhwY0hA,https://www.youtube.com/watch?v=x9EF-r4LMUI,5158650,203723,3314
UCT-_4GqC-yLY1xtTHhwY0hA,https://www.youtube.com/watch?v=tRUGnDVnI60,2177111,127288,1505
